IDM_;LPHD;1;MotAErr2;Indication of self-diagnostic for error on AC channel while measuring the current from the second OLTC motor phase;HR17160B12 - Indication of self-diagnostic for error on AC channel while measuring the current from the second OLTC motor phase;
IDM_;LPHD;1;MotAErr3;Indication of self-diagnostic for error on AC channel while measuring the current from the third OLTC motor phase;HR17160B13 - Indication of self-diagnostic for error on AC channel while measuring the current from the third OLTC motor phase;
IDM_;LPHD;1;MecAErr;Indication of self-diagnostic for error on AC channel while measuring the heating mechanism line current;HR17160B14 - Indication of self-diagnostic for error on AC channel while measuring the heating mechanism line current;
IDM_;LPHD;1;ADErr;Indication of self-diagnostic for error on reading the internal analog reference signal;HR17160B15 - Indication of self-diagnostic for error on reading the internal analog reference signal;
IDM_;LPHD;1;RcdSetMemErr;Indication of self-diagnostic memory for error on parameterization saved on FLASH;HR17168B0 - Indication of self-diagnostic memory for error on parameterization saved on FLASH;
IDM_;LPHD;1;RcdRTDDiagErr;Indication of self-diagnostic memory for error on internal RTDs reading;HR17168B1 - Indication of self-diagnostic memory for error on internal RTDs reading;
IDM_;LPHD;1;RcdTmpSkpErr;Indication of self-diagnostic memory for error on temperature skip;HR17168B2 - Indication of self-diagnostic memory for error on temperature skip;
IDM_;LPHD;1;RcdRTDClbErr;Indication of self-diagnostic memory for error on calibration PT100 temperature calibration;HR17168B3 - Indication of self-diagnostic memory for error on calibration PT100 temperature calibration;
IDM_;LPHD;1;RcdRTDErr;Indication of self-diagnostic memory for error on PT100 temperature reading;HR17168B4 - Indication of self-diagnostic memory for error on PT100 temperature reading;
IDM_;LPHD;1;RcdPotErr;Indication of self-diagnostic memory for error on potentiometric transmitter reading;HR17168B5 - Indication of self-diagnostic memory for error on potentiometric transmitter reading;
IDM_;LPHD;1;RcdPotErrAD;Indication of self-diagnostic memory for error on reading the potentiometric transmitter A/D;HR17168B6 - Indication of self-diagnostic memory for error on reading the potentiometric transmitter A/D;
IDM_;LPHD;1;RcdMotVErr1;Indication of self-diagnostic memory for error on AC channel while measuring the supply voltage from the first (or only) OLTC motor phase;HR17168B8 - Indication of self-diagnostic memory for error on AC channel while measuring the supply voltage from the first (or only) OLTC motor phase;
IDM_;LPHD;1;RcdMotVErr2;Indication of self-diagnostic memory for error on AC channel while measuring the supply voltage from the second OLTC motor phase;HR17168B9 - Indication of self-diagnostic memory for error on AC channel while measuring the supply voltage from the second OLTC motor phase;
IDM_;LPHD;1;RcdMotVErr3;Indication of self-diagnostic memory for error on AC channel while measuring the supply voltage from the third OLTC motor phase;HR17168B10 - Indication of self-diagnostic memory for error on AC channel while measuring the supply voltage from the third OLTC motor phase;
IDM_;LPHD;1;RcdMotAErr1;Indication of self-diagnostic memory for error on AC channel while measuring the current from the first (or only) OLTC motor phase;HR17168B11 - Indication of self-diagnostic memory for error on AC channel while measuring the current from the first (or only) OLTC motor phase;
IDM_;LPHD;1;RcdMotAErr2;Indication of self-diagnostic memory for error on AC channel while measuring the current from the second OLTC motor phase;HR17168B12 - Indication of self-diagnostic memory for error on AC channel while measuring the current from the second OLTC motor phase;
IDM_;LPHD;1;RcdMotAErr3;Indication of self-diagnostic memory for error on AC channel while measuring the current from the third OLTC motor phase;HR17168B13 - Indication of self-diagnostic memory for error on AC channel while measuring the current from the third OLTC motor phase;
IDM_;LPHD;1;RcdMecAErr;Indication of self-diagnostic memory for error on AC channel while measuring the heating mechanism line current;HR17168B14 - Indication of self-diagnostic memory for error on AC channel while measuring the heating mechanism line current;
IDM_;LPHD;1;RcdADErr;Indication of self-diagnostic memory for error on reading the internal analog reference signal;HR17168B15 - Indication of self-diagnostic memory for error on reading the internal analog reference signal;
IDM_;LPHD;1;RcdMemErr2;Indication of self-diagnostic memory for failure on oscillography writing on flash;HR17176B0 - Indication of self-diagnostic memory for failure on oscillography writing on flash;
IDM_;LPHD;1;RcdMemErr3;Indication of self-diagnostic memory for failure in learning writing on flash;HR17176B1 - Indication of self-diagnostic memory for failure in learning writing on flash;
IDM_;LPHD;1;RcdMemErr1;Indication of self-diagnostic memory for failure in writing on flash;HR17176B2 - Indication of self-diagnostic memory for failure in writing on flash;
IDM_;LPHD;1;RcdCommErr;Indication of self-diagnostic memory for failure in communication between HU-S and HU-C;HR17176B4 - Indication of self-diagnostic memory for failure in communication between HU-S and HU-C;
IDM_;LPHD;1;MemErr2;Indication of self-diagnostic for failure in oscillography writing on flash;HR17177B0 - Indication of self-diagnostic for failure in oscillography writing on flash;
IDM_;LPHD;1;MemErr3;Indication of self-diagnostic for failure in learning writing on flash;HR17177B1 - Indication of self-diagnostic for failure in learning writing on flash;
IDM_;LPHD;1;MemErr1;Indication of self-diagnostic for failure in writing on flash;HR17177B2 - Indication of self-diagnostic for failure in writing on flash;
IDM_;LPHD;1;CommErr;Indication of self-diagnostic for failure in communication between HU-S and HU-C;HR17177B4 - Indication of self-diagnostic for failure in communication between HU-S and HU-C;
IDM_;SOPM;1;HiPeakAWrn;Indication of alarm by current peak on start - High;HR21200B0 - Indication of alarm by current peak on start - High;
IDM_;SOPM;1;QHiPeakAWrn;Indication of quality of alarm by current peak on start - High;HR21200B1 - Indication of quality of alarm by current peak on start - High;
IDM_;SOPM;1;HiPeakAAlm;Indication of alarm by current peak on start - Very high;HR21201B0 - Indication of alarm by current peak on start - Very high;
IDM_;SOPM;1;QHiPeakAAlm;Indication of quality of alarm by current peak on start - Very high;HR21201B1 - Indication of quality of alarm by current peak on start - Very high;
IDM_;SOPM;1;LoMotWhWrn;Indication of alarm by total energy spent by motor during operation - Low;HR21202B0 - Indication of alarm by total energy spent by motor during operation - Low;
IDM_;SOPM;1;QLoMotWhWrn;Indication of quality of alarm by total energy spent by motor during operation - Low;HR21202B1 - Indication of quality of alarm by total energy spent by motor during operation - Low;
IDM_;SOPM;1;LoMotWhAlm;Indication of alarm by total energy spent by motor during operation - Very low;HR21203B0 - Indication of alarm by total energy spent by motor during operation - Very low;
IDM_;SOPM;1;QLoMotWhAlm;Indication of quality of alarm by total energy spent by motor during operation - Very low;HR21203B1 - Indication of quality of alarm by total energy spent by motor during operation - Very low;
IDM_;SOPM;1;HiMotWhWrn;Indication of alarm by total energy spent by motor during operation - High;HR21204B0 - Indication of alarm by total energy spent by motor during operation - High;
IDM_;SOPM;1;QHiMotWhWrn;Indication of quality of alarm by total energy spent by motor during operation - High;HR21204B1 - Indication of quality of alarm by total energy spent by motor during operation - High;
IDM_;SOPM;1;HiMotWhAlm;Indication of alarm by total energy spent by motor during operation - Very high;HR21205B0 - Indication of alarm by total energy spent by motor during operation - Very high;
IDM_;SOPM;1;QHiMotWhAlm;Indication of quality of alarm by total energy spent by motor during operation - Very high;HR21205B1 - Indication of quality of alarm by total energy spent by motor during operation - Very high;
IDM_;SOPM;1;LoMinVWrn;Indication of alarm by minimal voltage on motor during operation - Low;HR21206B0 - Indication of alarm by minimal voltage on motor during operation - Low;
IDM_;SOPM;1;QLoMinVWrn;Indication of quality of alarm by minimal voltage on motor during operation - Low;HR21206B1 - Indication of quality of alarm by minimal voltage on motor during operation - Low;
IDM_;SOPM;1;LoMinVAlm;Indication of alarm by minimal voltage on motor during operation - Very low;HR21207B0 - Indication of alarm by minimal voltage on motor during operation - Very low;
IDM_;SOPM;1;QLoMinVAlm;Indication of quality of alarm by minimal voltage on motor during operation - Very low;HR21207B1 - Indication of quality of alarm by minimal voltage on motor during operation - Very low;
IDM_;SOPM;1;HiMinVWrn;Indication of alarm by maximal voltage on motor during operation - High;HR21208B0 - Indication of alarm by maximal voltage on motor during operation - High;
IDM_;SOPM;1;QHiMinVWrn;Indication of quality of alarm by maximal voltage on motor during operation - High;HR21208B1 - Indication of quality of alarm by maximal voltage on motor during operation - High;
IDM_;SOPM;1;HiMinVAlm;Indication of alarm by maximal voltage on motor during operation - Very high;HR21209B0 - Indication of alarm by maximal voltage on motor during operation - Very high;
IDM_;SOPM;1;QHiMinVAlm;Indication of quality of alarm by maximal voltage on motor during operation - Very high;HR21209B1 - Indication of quality of alarm by maximal voltage on motor during operation - Very high;
IDM_;SOPM;1;LoMotOpCrv;Indication of alarm by curva de consumo do motor durante operação - Alow da assinatura;HR21210B0 - Indication of alarm by curva de consumo do motor durante operação - Alow da assinatura;
IDM_;SOPM;1;QLoMotOpCrv;Indication of quality of alarm by curva de consumo do motor durante operação - Alow da assinatura;HR21210B1 - Indication of quality of alarm by curva de consumo do motor durante operação - Alow da assinatura;
IDM_;SOPM;1;HiMotOpCrv;Indication of alarm by curva de consumo do motor durante operação - Acima da assinatura;HR21211B0 - Indication of alarm by curva de consumo do motor durante operação - Acima da assinatura;
IDM_;SOPM;1;QHiMotOpCrv;Indication of quality of alarm by curva de consumo do motor durante operação - Acima da assinatura;HR21211B1 - Indication of quality of alarm by curva de consumo do motor durante operação - Acima da assinatura;
IDM_;SOPM;1;LoMotVAlm1;Indication of memória de alarm memory by motor voltage - Very low;HR17169B0 - Indication of memória de alarm memory by motor voltage - Very low;
IDM_;SOPM;1;LoMotVWrn1;Indication of alarm memory by motor voltage - Low;HR17169B1 - Indication of alarm memory by motor voltage - Low;
IDM_;SOPM;1;HiMotVWrn1;Indication of alarm memory by motor voltage - High;HR17169B2 - Indication of alarm memory by motor voltage - High;
IDM_;SOPM;1;HiMotVAlm1;Indication of alarm memory by motor voltage - Very high;HR17169B3 - Indication of alarm memory by motor voltage - Very high;
IDM_;SOPM;1;LoMotOpVAlm1;Indication of alarm memory by motor voltage during operation - Very low;HR17169B4 - Indication of alarm memory by motor voltage during operation - Very low;
IDM_;SOPM;1;LoMotOpVWrn1;Indication of alarm memory by motor voltage during operation - Low;HR17169B5 - Indication of alarm memory by motor voltage during operation - Low;
IDM_;SOPM;1;HiMotOpVWrn1;Indication of alarm memory by motor voltage during operation - High;HR17169B6 - Indication of alarm memory by motor voltage during operation - High;
IDM_;SOPM;1;HiMotOpVAlm1;Indication of alarm memory by motor voltage during operation - Very high;HR17169B7 - Indication of alarm memory by motor voltage during operation - Very high;
IDM_;SOPM;1;CmdVLoAlm1;Indication of alarm memory by command voltage - Very low;HR17169B8 - Indication of alarm memory by command voltage - Very low;
IDM_;SOPM;1;CmdVLoWrn1;Indication of alarm memory by command voltage - Low;HR17169B9 - Indication of alarm memory by command voltage - Low;
IDM_;SOPM;1;CmdVHiWrn1;Indication of alarm memory by command voltage - High;HR17169B10 - Indication of alarm memory by command voltage - High;
IDM_;SOPM;1;CmdVHiAlm1;Indication of alarm memory by command voltage - Very high;HR17169B11 - Indication of alarm memory by command voltage - Very high;
IDM_;SOPM;1;CmdVLoOpAlm1;Indication of alarm memory by command voltage during oscillography - Very low;HR17169B12 - Indication of alarm memory by command voltage during oscillography - Very low;
IDM_;SOPM;1;CmdVLoOpWrn1;Indication of alarm memory by command voltage during oscillography - Low;HR17169B13 - Indication of alarm memory by command voltage during oscillography - Low;
IDM_;SOPM;1;CmdVHiOpWrn1;Indication of alarm memory by command voltage during oscillography - High;HR17169B14 - Indication of alarm memory by command voltage during oscillography - High;
IDM_;SOPM;1;CmdVHiOpAlm1;Indication of alarm memory by command voltage during oscillography - Very high;HR17169B15 - Indication of alarm memory by command voltage during oscillography - Very high;
IDM_;SOPM;1;LoOpWhAlm;Indication of alarm memory by operation energy - Very low;HR17170B0 - Indication of alarm memory by operation energy - Very low;
IDM_;SOPM;1;LoOpWhWrn;Indication of alarm memory by operation energy - Low;HR17170B1 - Indication of alarm memory by operation energy - Low;
IDM_;SOPM;1;HiOpWhWrn;Indication of alarm memory by operation energy - High;HR17170B2 - Indication of alarm memory by operation energy - High;
IDM_;SOPM;1;HiOpWhAlm;Indication of alarm memory by operation energy - Very high;HR17170B3 - Indication of alarm memory by operation energy - Very high;
IDM_;SOPM;1;HiMotTmAlm1;Indication of alarm memory by motor operation time for OLTC operation - Very high;HR17170B4 - Indication of alarm memory by motor operation time for OLTC operation - Very high;
IDM_;SOPM;1;HiMotTmWrn1;Indication of alarm memory by motor operation time for OLTC operation - High;HR17170B5 - Indication of alarm memory by motor operation time for OLTC operation - High;
IDM_;SOPM;1;LoMotTmWrn1;Indication of alarm memory by motor operation time for OLTC operation - Low;HR17170B6 - Indication of alarm memory by motor operation time for OLTC operation - Low;
IDM_;SOPM;1;LoMotTmAlm1;Indication of alarm memory by motor operation time for OLTC operation - Very low;HR17170B7 - Indication of alarm memory by motor operation time for OLTC operation - Very low;
IDM_;SOPM;1;LoMecTmAlm1;Indication of alarm memory by mechanism temperature - Very low;HR17170B8 - Indication of alarm memory by mechanism temperature - Very low;
IDM_;SOPM;1;LoMecTmWrn1;Indication of alarm memory by mechanism temperature - Low;HR17170B9 - Indication of alarm memory by mechanism temperature - Low;
IDM_;SOPM;1;HiMecTmWrn1;Indication of alarm memory by mechanism temperature - High;HR17170B10 - Indication of alarm memory by mechanism temperature - High;
IDM_;SOPM;1;HiMecTmAlm1;Indication of alarm memory by mechanism temperature - Very high;HR17170B11 - Indication of alarm memory by mechanism temperature - Very high;
IDM_;SOPM;1;WrmCurLoAlm1;Indication of alarm memory by heater current e mechanism temperatures - Lows;HR17170B12 - Indication of alarm memory by heater current e mechanism temperatures - Lows;
IDM_;SOPM;1;WrmCurHiAlm1;Indication of alarm memory by heater current e mechanism temperatures - Highs;HR17170B13 - Indication of alarm memory by heater current e mechanism temperatures - Highs;
IDM_;SOPM;1;MotPeakAWrn1;Indication of alarm memory by peak current - High;HR17171B0 - Indication of alarm memory by peak current - High;
IDM_;SOPM;1;MotPeakAAlm1;Indication of alarm memory by peak current - Very high;HR17171B1 - Indication of alarm memory by peak current - Very high;
IDM_;SOPM;1;OpPwrLoAlm1;Indication of alarm memory by cumsumption curve - Below curve;HR17171B2 - Indication of alarm memory by cumsumption curve - Below curve;
IDM_;SOPM;1;OpPwrHiAlm1;Indication of alarm memory by cumsumption curve - Above curve;HR17171B3 - Indication of alarm memory by cumsumption curve - Above curve;
IDM_;SLTC;1;OpCntMtnAlm1;Indication of alarm memory of maintenance by operation number;HR17171B4 - Indication of alarm memory of maintenance by operation number;
IDM_;SLTC;1;eNumOpAlm;Indication of alarm memory by in advance warning to maintenance by operation number;HR17171B5 - Indication of alarm memory by in advance warning to maintenance by operation number;
IDM_;SOPM;1;AmpIMtnAlm1;Indication of alarm memory of maintenance by current integration;HR17171B6 - Indication of alarm memory of maintenance by current integration;
IDM_;SOPM;1;eAmpIAlm;Indication of alarm memory by in advance warning to maintenance by current integration;HR17171B7 - Indication of alarm memory by in advance warning to maintenance by current integration;
IDM_;SLTC;1;SvcTmAlm1;Indication of alarm memory of maintenance by service live;HR17171B8 - Indication of alarm memory of maintenance by service live;
IDM_;SLTC;1;eTmSvcAlm;Indication of alarm memory by in advance warning to maintenance by service live;HR17171B9 - Indication of alarm memory by in advance warning to maintenance by service live;
IDM_;SOPM;1;MotCBOpnAlm1;Indication of alarm memory by opened motor circuit breaker;HR17171B10 - Indication of alarm memory by opened motor circuit breaker;
IDM_;SOPM;1;MotTrgAlm;Indication of alarm memory by trigerred motor;HR17171B11 - Indication of alarm memory by trigerred motor;
IDM_;SLTC;1;OscMotCBOpn;Indication of alarm by opened motor circuit breaker;HR17200B0 - Indication of alarm by opened motor circuit breaker;
IDM_;SOPM;1;QMotCBOpnAlm;Indication of quality of alarm by motor circuit breaker;HR17200B1 - Indication of quality of alarm by motor circuit breaker;
IDM_;SLTC;1;OscLoMecTmp1;Indication of alarm by mechanism temperature - Low;HR17201B0 - Indication of alarm by mechanism temperature - Low;
IDM_;SOPM;1;QLoMecTmpWrn;Indication of quality of alarm by mechanism temperature - Low;HR17201B1 - Indication of quality of alarm by mechanism temperature - Low;
IDM_;SLTC;1;OscLoMecTmp2;Indication of alarm by mechanism temperature - Very low;HR17202B0 - Indication of alarm by mechanism temperature - Very low;
IDM_;SOPM;1;QLoMecTmpAlm;Indication of quality of alarm by mechanism temperature - Very low;HR17202B1 - Indication of quality of alarm by mechanism temperature - Very low;
IDM_;SLTC;1;OscHiMecTmp1;Indication of alarm by mechanism temperature - High;HR17203B0 - Indication of alarm by mechanism temperature - High;
IDM_;SOPM;1;QHiMecTmpWrn;Indication of quality of alarm by mechanism temperature - High;HR17203B1 - Indication of quality of alarm by mechanism temperature - High;
IDM_;SLTC;1;OscHiMecTmp2;Indication of alarm by mechanism temperature - Very high;HR17204B0 - Indication of alarm by mechanism temperature - Very high;
IDM_;SOPM;1;QHiMecTmpAlm;Indication of quality of alarm by mechanism temperature - Very high;HR17204B1 - Indication of quality of alarm by mechanism temperature - Very high;
IDM_;SLTC;1;OscLoHeatA1;Indication of alarm by heater current and mechanism temperature - Lows;HR17205B0 - Indication of alarm by heater current and mechanism temperature - Lows;
IDM_;SOPM;1;QLoHeatAAlm;Indication of quality of alarm by heater current and mechanism temperature - Lows;HR17205B1 - Indication of quality of alarm by heater current and mechanism temperature - Lows;
IDM_;SLTC;1;OscHiHeatA2;Indication of alarm by heater current and mechanism temperature - Highs;HR17206B0 - Indication of alarm by heater current and mechanism temperature - Highs;
IDM_;SOPM;1;QHiHeatAAlm;Indication of quality of alarm by heater current and mechanism temperature - Highs;HR17206B1 - Indication of quality of alarm by heater current and mechanism temperature - Highs;
IDM_;SLTC;1;OscLoMotV1;Indication of alarm by motor voltage - Low;HR17207B0 - Indication of alarm by motor voltage - Low;
IDM_;SOPM;1;QLoMotVWrn;Indication of quality of alarm by motor voltage - Low;HR17207B1 - Indication of quality of alarm by motor voltage - Low;
IDM_;SLTC;1;OscLoMotV2;Indication of alarm by motor voltage - Very low;HR17208B0 - Indication of alarm by motor voltage - Very low;
IDM_;SOPM;1;QLoMotVAlm;Indication of quality of alarm by motor voltage - Very low;HR17208B1 - Indication of quality of alarm by motor voltage - Very low;
IDM_;SLTC;1;OscHiMotV1;Indication of alarm by motor voltage - High;HR17209B0 - Indication of alarm by motor voltage - High;
IDM_;SOPM;1;QHiMotVWrn;Indication of quality of alarm by motor voltage - High;HR17209B1 - Indication of quality of alarm by motor voltage - High;
IDM_;SLTC;1;OscHiMotV2;Indication of alarm by motor voltage - Very high;HRB0 - Indication of alarm by motor voltage - Very high;
IDM_;SOPM;1;QHiMotVAlm;Indication of quality of alarm by motor voltage - Very high;HR17210B1 - Indication of quality of alarm by motor voltage - Very high;
IDM_;SLTC;1;OscLoCmdV1;Indication of alarm by command voltage - Low;HR17211B0 - Indication of alarm by command voltage - Low;
IDM_;SOPM;1;QLoCmdVWrn;Indication of quality of alarm by command voltage - Low;HR17211B1 - Indication of quality of alarm by command voltage - Low;
IDM_;SLTC;1;OscLoCmdV2;Indication of alarm by command voltage - Very low;HR17212B0 - Indication of alarm by command voltage - Very low;
IDM_;SOPM;1;QLoCmdVAlm;Indication of quality of alarm by command voltage - Very low;HR17212B1 - Indication of quality of alarm by command voltage - Very low;
IDM_;SLTC;1;OscHiCmdV1;Indication of alarm by command voltage - High;HR17213B0 - Indication of alarm by command voltage - High;
IDM_;SOPM;1;QHiCmdVWrn;Indication of quality of alarm by command voltage - High;HR17213B1 - Indication of quality of alarm by command voltage - High;
IDM_;SLTC;1;OscHiCmdV2;Indication of alarm by command voltage - Very high;HR17214B0 - Indication of alarm by command voltage - Very high;
IDM_;SOPM;1;QHiCmdVAlm;Indication of quality of alarm by command voltage - Very high;HR17214B1 - Indication of quality of alarm by command voltage - Very high;
IDM_;SLTC;1;OsceNumOp;Indication of alarm by in advance warning to maintenance by operation number;HR17215B0 - Indication of alarm by in advance warning to maintenance by operation number;
IDM_;SLTC;1;QeNumOpAlm;Indication of quality of alarm by in advance warning to maintenance by operation number;HR17215B1 - Indication of quality of alarm by in advance warning to maintenance by operation number;
IDM_;SLTC;1;OscOpCntMtn;Indication of alarm of maintenance by operation number;HR17216B0 - Indication of alarm of maintenance by operation number;
IDM_;SLTC;1;QOpCntMtnAlm;Indication of quality of alarm of maintenance by operation number;HR17216B1 - Indication of quality of alarm of maintenance by operation number;
IDM_;SLTC;1;OsceAmpIAlm;Indication of alarm by in advance warning to maintenance by current integration;HR17217B0 - Indication of alarm by in advance warning to maintenance by current integration;
IDM_;SOPM;1;QeAmpIAlm;Indication of quality of alarm by in advance warning to maintenance by current integration;HR17217B1 - Indication of quality of alarm by in advance warning to maintenance by current integration;
IDM_;SLTC;1;OscAmpIMtnAlm;Indication of alarm of maintenance by current integration;HR17218B0 - Indication of alarm of maintenance by current integration;
IDM_;SOPM;1;QAmpIMtnAlm;Indication of quality of alarm of maintenance by current integration;HR17218B1 - Indication of quality of alarm of maintenance by current integration;
IDM_;SLTC;1;OsceSvcTm;Indication of alarm by in advance warning to maintenance by service live;HR17219B0 - Indication of alarm by in advance warning to maintenance by service live;
IDM_;SLTC;1;QeSvcTm;Indication of quality of alarm by in advance warning to maintenance by service live;HR17219B1 - Indication of quality of alarm by in advance warning to maintenance by service live;
IDM_;SLTC;1;OscSvcTmAlm;Indication of alarm of maintenance by service live;HR17220B0 - Indication of alarm of maintenance by service live;
IDM_;SLTC;1;QSvcTmAlm;Indication of quality of alarm of maintenance by service live;HR17220B1 - Indication of quality of alarm of maintenance by service live;
IDM_;SLTC;1;OscHiMotTm1;Indication of alarm by motor operation time for OLTC operation - High;HR17221B0 - Indication of alarm by motor operation time for OLTC operation - High;
IDM_;SLTC;1;QHiMotTm1;Indication of quality of alarm by motor operation time for OLTC operation - High;HR17221B1 - Indication of quality of alarm by motor operation time for OLTC operation - High;
IDM_;SLTC;1;OscHiMotTm2;Indication of alarm by motor operation time for OLTC operation - Very high;HR17222B0 - Indication of alarm by motor operation time for OLTC operation - Very high;
IDM_;SLTC;1;QHiMotTm2;Indication of quality of alarm by motor operation time for OLTC operation - Very high;HR17222B1 - Indication of quality of alarm by motor operation time for OLTC operation - Very high;
IDM_;SLTC;1;OscLoMotTm1;Indication of alarm by motor operation time for OLTC operation - Low;HR17223B0 - Indication of alarm by motor operation time for OLTC operation - Low;
IDM_;SLTC;1;QLoMotTmWrn;Indication of quality of alarm by motor operation time for OLTC operation - Low;HR17223B1 - Indication of quality of alarm by motor operation time for OLTC operation - Low;
IDM_;SLTC;1;OscLoMotTm2;Indication of alarm by motor operation time for OLTC operation - Very low;HR17224B0 - Indication of alarm by motor operation time for OLTC operation - Very low;
IDM_;SLTC;1;QLoMotTmAlm;Indication of quality of alarm by motor operation time for OLTC operation - Very low;HR17224B1 - Indication of quality of alarm by motor operation time for OLTC operation - Very low;
IDM_;SLTC;1;OscMotTrgAlm;Indication of alarm by triggered motor;HR17225B0 - Indication of alarm by triggered motor;
IDM_;SOPM;1;QMotTrgAlm;Indication of quality of alarm by triggered motor;HR17225B1 - Indication of quality of alarm by triggered motor;
IDM_;SLTC;1;OscCmdVLo1;Indication of alarm by command voltage during oscillography - Low;HR17226B0 - Indication of alarm by command voltage during oscillography - Low;
IDM_;SOPM;1;QCmdVLoWrn;Indication of quality of alarm by command voltage during oscillography - Low;HR17226B1 - Indication of quality of alarm by command voltage during oscillography - Low;
IDM_;SLTC;1;OscCmdVLo2;Indication of alarm by command voltage during oscillography - Very low;HR17227B0 - Indication of alarm by command voltage during oscillography - Very low;
IDM_;SOPM;1;QCmdVLoAlm;Indication of quality of alarm by command voltage during oscillography - Very low;HR17227B1 - Indication of quality of alarm by command voltage during oscillography - Very low;
IDM_;SLTC;1;OscCmdVHi1;Indication of alarm by command voltage during oscillography - High;HR17228B0 - Indication of alarm by command voltage during oscillography - High;
IDM_;SOPM;1;QCmdVHiWrn;Indication of quality of alarm by command voltage during oscillography - High;HR17228B1 - Indication of quality of alarm by command voltage during oscillography - High;
IDM_;SLTC;1;OscCmdVHi2;Indication of alarm by command voltage during oscillography - Very high;HR17229B0 - Indication of alarm by command voltage during oscillography - Very high;
IDM_;SOPM;1;QCmdVHiAlm;Indication of quality of alarm by command voltage during oscillography - Very high;HR17229B1 - Indication of quality of alarm by command voltage during oscillography - Very high;
IDM_;SLTC;1;LoMotVAlm;Indication of alarm by motor voltage - Very low;HR17173B0 - Indication of alarm by motor voltage - Very low;
IDM_;SLTC;1;LoMotVWrn;Indication of alarm by motor voltage - Low;HR17173B1 - Indication of alarm by motor voltage - Low;
IDM_;SLTC;1;HiMotVWrn;Indication of alarm by motor voltage - High;HR17173B2 - Indication of alarm by motor voltage - High;
IDM_;SLTC;1;HiMotVAlm;Indication of alarm by motor voltage - Very high;HR17173B3 - Indication of alarm by motor voltage - Very high;
IDM_;SLTC;1;LoMotOpVAlm;Indication of alarm by motor voltage during operation - Very low;HR17173B4 - Indication of alarm by motor voltage during operation - Very low;
IDM_;SLTC;1;LoMotOpVWrn;Indication of alarm by motor voltage during operation - Low;HR17173B5 - Indication of alarm by motor voltage during operation - Low;
IDM_;SLTC;1;HiMotOpVWrn;Indication of alarm by motor voltage during operation - High;HR17173B6 - Indication of alarm by motor voltage during operation - High;
IDM_;SLTC;1;HiMotOpVAlm;Indication of alarm by motor voltage during operation - Very high;HR17173B7 - Indication of alarm by motor voltage during operation - Very high;
IDM_;SLTC;1;CmdVLoAlm;Indication of alarm by command voltage - Very low;HR17173B8 - Indication of alarm by command voltage - Very low;
IDM_;SLTC;1;CmdVLoWrn;Indication of alarm by command voltage - Low;HR17173B9 - Indication of alarm by command voltage - Low;
IDM_;SLTC;1;CmdVHiWrn;Indication of alarm by command voltage - High;HR17173B10 - Indication of alarm by command voltage - High;
IDM_;SLTC;1;CmdVHiAlm;Indication of alarm by command voltage - Very high;HR17173B11 - Indication of alarm by command voltage - Very high;
IDM_;SLTC;1;CmdVLoOpAlm;Indication of alarm by command voltage during oscillography - Very low;HR17173B12 - Indication of alarm by command voltage during oscillography - Very low;
IDM_;SLTC;1;CmdVLoOpWrn;Indication of alarm by command voltage during oscillography - Low;HR17173B13 - Indication of alarm by command voltage during oscillography - Low;
